,job_title,company,description
0, .Net Developer - Contract - W2 (No C2C) - Remote , iTech Solutions ,".Net DeveloperPreference to a local candidate who can work a hybrid schedule in Franklin, TN, but open to 100% remote. M-F 8-5 CST.Duties: Participate in medium to large scale projects by reviewing project requirements. Translating requirements into solutions, write code, unit tests, ensure code coverage, communicate status and issues across team while collaborating with product, project and cross-functional teams. Ensuring on-time delivery. Troubleshooting complex problems, identifying code def"
1, Actimize Developer , Talent Group ,"We are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with ActiWe are seeking a highly skilled and experienced Actimize Developer to join our dynamic team. The ideal candidate should have a strong background in hands-on Actimize platform development, with proficiency in core Java technology and related stack. The candidate must have a proven track record of successfully implementing large-scale projects in the Java platform, including Java Plugin development, with a minimum of 7 years of relevant experience. Key Qualifications: Hands-on experience with Acti"
2, Agilist Lead Consultant ," NTT DATA Americas, Inc ","Company Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product OwnCompany Overview: Req ID: 266858 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Agilist Lead Consultant to join our team in Remote, Nova Scotia (CA-NS), Canada (CA).Job Description: Our Agile Product Owner II is responsible for establishing vision for no more than two Agile (Scrum/Kanban) teams. The Product Own"
3, Application Security Architect ," NTT DATA Americas, Inc ","Company Overview: Req ID: 266872 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Application Security Architect to join our team in REMOTE, Kentucky (US-KY), United States (US).Where required by law, NTT DATA provides a reasonable range of compensation for specific roles. The starting hourly range for this remotCompany Overview: Req ID: 266872 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Application Security Architect to join our team in REMOTE, Kentucky (US-KY), United States (US).Where required by law, NTT DATA provides a reasonable range of compensation for specific roles. The starting hourly range for this remotCompany Overview: Req ID: 266872 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Application Security Architect to join our team in REMOTE, Kentucky (US-KY), United States (US).Where required by law, NTT DATA provides a reasonable range of compensation for specific roles. The starting hourly range for this remotCompany Overview: Req ID: 266872 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Application Security Architect to join our team in REMOTE, Kentucky (US-KY), United States (US).Where required by law, NTT DATA provides a reasonable range of compensation for specific roles. The starting hourly range for this remot"
4, Business Systems Analyst (Workday Implementation) - W2 Only ," Computer Enterprises, Inc. ","ONLY CANDIDATES LOCAL W-2 CANDIDATES WILL BE CONSIDERED CEI's innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 9ONLY CANDIDATES LOCAL W-2 CANDIDATES WILL BE CONSIDERED CEI's innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 9ONLY CANDIDATES LOCAL W-2 CANDIDATES WILL BE CONSIDERED CEI's innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 9ONLY CANDIDATES LOCAL W-2 CANDIDATES WILL BE CONSIDERED CEI's innovative municipal Client is looking to add a Workday Business Systems Analyst to their team! Job at a glance: The estimated time of engagement is approximately 18 months and will begin immediately after the consultant is selected. Maximum of 40 hours per week.The pay range is $50-60/hr. The position would be W2 + optional benefits (Medical, Dental, Vision, and 401k)There is no fixed hybrid schedule. Will be mostly remote (roughly 9"
5, Cloud Solutions Architect , Honu Services ,"Location: Remote Security Clearance: Job Summary: Cloud Solutions Architect supports the designing, building, and maintaining the cloud infrastructure that will support the client organization's greater data environment. Collaboration with cross-functional teams to understand business requirements will be required, and then leveraging expertise to create scalable, reliable, and cost-effective solutions. This role will be pivotal in ensuring that the cloud environment aligns with the customer's bLocation: Remote Security Clearance: Job Summary: Cloud Solutions Architect supports the designing, building, and maintaining the cloud infrastructure that will support the client organization's greater data environment. Collaboration with cross-functional teams to understand business requirements will be required, and then leveraging expertise to create scalable, reliable, and cost-effective solutions. This role will be pivotal in ensuring that the cloud environment aligns with the customer's bLocation: Remote Security Clearance: Job Summary: Cloud Solutions Architect supports the designing, building, and maintaining the cloud infrastructure that will support the client organization's greater data environment. Collaboration with cross-functional teams to understand business requirements will be required, and then leveraging expertise to create scalable, reliable, and cost-effective solutions. This role will be pivotal in ensuring that the cloud environment aligns with the customer's b"
6, ColdFusion Developer ," NTT DATA Americas, Inc ","100% Remote Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organization's business. Gathers requirements from users and creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilize data within business applications and reporting queries. Familiar with standard concepts, practices, and procedures using various programm100% Remote Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organization's business. Gathers requirements from users and creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilize data within business applications and reporting queries. Familiar with standard concepts, practices, and procedures using various programm100% Remote Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organization's business. Gathers requirements from users and creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilize data within business applications and reporting queries. Familiar with standard concepts, practices, and procedures using various programm100% Remote Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organization's business. Gathers requirements from users and creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilize data within business applications and reporting queries. Familiar with standard concepts, practices, and procedures using various programm100% Remote Analyzes, modifies, and supports ColdFusion applications systems including encoding, testing, debugging and installing to support the organization's business. Gathers requirements from users and creates specifications and develops code. Designs and writes code to support existing applications. Interacts with SQL Server database platform to utilize data within business applications and reporting queries. Familiar with standard concepts, practices, and procedures using various programm"
7, Data Analyst ," York Solutions, LLC ","Our client is looking for 2-3 data analyst for a new group in their healthcare area.  This position is a junior role and totally remote. Logistics: Type: Contract Location: Remote Pay Rate: $40.00 w2  Position Overview: Data Analyst to provide report creation/support for PowerBI and Tableau Project Overview: Provide Report creation support on spinoff activities, and report creation/rebuilds for new organization. Team/Department: Reporting and Analytics Responsibilities: Provide Report creation sOur client is looking for 2-3 data analyst for a new group in their healthcare area.  This position is a junior role and totally remote. Logistics: Type: Contract Location: Remote Pay Rate: $40.00 w2  Position Overview: Data Analyst to provide report creation/support for PowerBI and Tableau Project Overview: Provide Report creation support on spinoff activities, and report creation/rebuilds for new organization. Team/Department: Reporting and Analytics Responsibilities: Provide Report creation sOur client is looking for 2-3 data analyst for a new group in their healthcare area.  This position is a junior role and totally remote. Logistics: Type: Contract Location: Remote Pay Rate: $40.00 w2  Position Overview: Data Analyst to provide report creation/support for PowerBI and Tableau Project Overview: Provide Report creation support on spinoff activities, and report creation/rebuilds for new organization. Team/Department: Reporting and Analytics Responsibilities: Provide Report creation sOur client is looking for 2-3 data analyst for a new group in their healthcare area.  This position is a junior role and totally remote. Logistics: Type: Contract Location: Remote Pay Rate: $40.00 w2  Position Overview: Data Analyst to provide report creation/support for PowerBI and Tableau Project Overview: Provide Report creation support on spinoff activities, and report creation/rebuilds for new organization. Team/Department: Reporting and Analytics Responsibilities: Provide Report creation sOur client is looking for 2-3 data analyst for a new group in their healthcare area.  This position is a junior role and totally remote. Logistics: Type: Contract Location: Remote Pay Rate: $40.00 w2  Position Overview: Data Analyst to provide report creation/support for PowerBI and Tableau Project Overview: Provide Report creation support on spinoff activities, and report creation/rebuilds for new organization. Team/Department: Reporting and Analytics Responsibilities: Provide Report creation s"
8, Data Analyst 2 ," eXcell, a division of CompuCom Systems, Inc. ","has been staffing IT professionals at the top Fortune 100 companies for over two decades. Whether you are looking for a lower-level IT position or a high-level executive position, we are here to help you find the right opportunity.We have a brand new opportunity available for a qualified Data Analyst to coordinate changes to computer databases, test, and implement the database and apply knowledge of database management systems. This will be a remote position.Duties and Responsibilities:  Work wihas been staffing IT professionals at the top Fortune 100 companies for over two decades. Whether you are looking for a lower-level IT position or a high-level executive position, we are here to help you find the right opportunity.We have a brand new opportunity available for a qualified Data Analyst to coordinate changes to computer databases, test, and implement the database and apply knowledge of database management systems. This will be a remote position.Duties and Responsibilities:  Work wihas been staffing IT professionals at the top Fortune 100 companies for over two decades. Whether you are looking for a lower-level IT position or a high-level executive position, we are here to help you find the right opportunity.We have a brand new opportunity available for a qualified Data Analyst to coordinate changes to computer databases, test, and implement the database and apply knowledge of database management systems. This will be a remote position.Duties and Responsibilities:  Work wihas been staffing IT professionals at the top Fortune 100 companies for over two decades. Whether you are looking for a lower-level IT position or a high-level executive position, we are here to help you find the right opportunity.We have a brand new opportunity available for a qualified Data Analyst to coordinate changes to computer databases, test, and implement the database and apply knowledge of database management systems. This will be a remote position.Duties and Responsibilities:  Work wi"
9, ERP Engineer - Syteline , Ledgent Technology ,"Ledgent Technology is partnering with an industry-leading educational development company to search for an ERP Engineer! The ideal candidate will be able to implement, configure and maintain our customer's ERP system (Syteline/Infor Cloud Suite Industrial 10). This candidate will play a key role in helping to improve and support technical processes and functions by working directly with internal users with the goal of supporting business growth initiatives. The ideal candidate will have experienLedgent Technology is partnering with an industry-leading educational development company to search for an ERP Engineer! The ideal candidate will be able to implement, configure and maintain our customer's ERP system (Syteline/Infor Cloud Suite Industrial 10). This candidate will play a key role in helping to improve and support technical processes and functions by working directly with internal users with the goal of supporting business growth initiatives. The ideal candidate will have experienLedgent Technology is partnering with an industry-leading educational development company to search for an ERP Engineer! The ideal candidate will be able to implement, configure and maintain our customer's ERP system (Syteline/Infor Cloud Suite Industrial 10). This candidate will play a key role in helping to improve and support technical processes and functions by working directly with internal users with the goal of supporting business growth initiatives. The ideal candidate will have experienLedgent Technology is partnering with an industry-leading educational development company to search for an ERP Engineer! The ideal candidate will be able to implement, configure and maintain our customer's ERP system (Syteline/Infor Cloud Suite Industrial 10). This candidate will play a key role in helping to improve and support technical processes and functions by working directly with internal users with the goal of supporting business growth initiatives. The ideal candidate will have experienLedgent Technology is partnering with an industry-leading educational development company to search for an ERP Engineer! The ideal candidate will be able to implement, configure and maintain our customer's ERP system (Syteline/Infor Cloud Suite Industrial 10). This candidate will play a key role in helping to improve and support technical processes and functions by working directly with internal users with the goal of supporting business growth initiatives. The ideal candidate will have experien"
