,job_title,company,description
0, Account Manager II , Lumen ,"About Lumen  Lumen connects the world. We are igniting business growth by connecting people, data and applications - quickly, securely, and effortlessly. Together, we are building a culture and company from the people up - committed to teamwork, trust and transparency. People power progress. We're looking for top-tier talent and offer the flexibility you need to thrive and deliver lasting impact. Join us as we digitally connect the world and shape the future.  The Role Responsible for sales accoAbout Lumen  Lumen connects the world. We are igniting business growth by connecting people, data and applications - quickly, securely, and effortlessly. Together, we are building a culture and company from the people up - committed to teamwork, trust and transparency. People power progress. We're looking for top-tier talent and offer the flexibility you need to thrive and deliver lasting impact. Join us as we digitally connect the world and shape the future.  The Role Responsible for sales accoAbout Lumen  Lumen connects the world. We are igniting business growth by connecting people, data and applications - quickly, securely, and effortlessly. Together, we are building a culture and company from the people up - committed to teamwork, trust and transparency. People power progress. We're looking for top-tier talent and offer the flexibility you need to thrive and deliver lasting impact. Join us as we digitally connect the world and shape the future.  The Role Responsible for sales acco"
1, Business Analyst - Remote , Randstad Digital ,"job summary:  Our client has an immediate need for multiple Business Analysts to join their team. This position is 100% remote with some travel to CO, OH and PA. The ideal; candidate will have 3-5+ years of experience as a Business Analyst or Product Owner working in an agile environment, ideally in healthcare and previous work experience building persona's and journey mapping.. location: DENVER, Colorado  job type: Contract  salary: $45 - 55  per hour  work hours: 8am to 4pm  education: Bachelojob summary:  Our client has an immediate need for multiple Business Analysts to join their team. This position is 100% remote with some travel to CO, OH and PA. The ideal; candidate will have 3-5+ years of experience as a Business Analyst or Product Owner working in an agile environment, ideally in healthcare and previous work experience building persona's and journey mapping.. location: DENVER, Colorado  job type: Contract  salary: $45 - 55  per hour  work hours: 8am to 4pm  education: Bachelojob summary:  Our client has an immediate need for multiple Business Analysts to join their team. This position is 100% remote with some travel to CO, OH and PA. The ideal; candidate will have 3-5+ years of experience as a Business Analyst or Product Owner working in an agile environment, ideally in healthcare and previous work experience building persona's and journey mapping.. location: DENVER, Colorado  job type: Contract  salary: $45 - 55  per hour  work hours: 8am to 4pm  education: Bachelo"
2, Commercial Installation Technician , TEKsystems c/o Allegis Group ,"Description: Going to be an security/alarm/cabel installer at a Data Center(Job site is in east Auror. Must be willing to travel in own vehicle to job site for 4 months. Must have 10 in 1 screwdriver, side cutters, cable strippers 14-24 AWG and trim screwdriver/tweaker. Every colleague is encouraged to participate in our Recruit Awesome People program, helping us grow by promoting our colleague-first culture and referring top talent to the Talent Acquisition Team and hiring managers. Acts as ourDescription: Going to be an security/alarm/cabel installer at a Data Center(Job site is in east Auror. Must be willing to travel in own vehicle to job site for 4 months. Must have 10 in 1 screwdriver, side cutters, cable strippers 14-24 AWG and trim screwdriver/tweaker. Every colleague is encouraged to participate in our Recruit Awesome People program, helping us grow by promoting our colleague-first culture and referring top talent to the Talent Acquisition Team and hiring managers. Acts as ourDescription: Going to be an security/alarm/cabel installer at a Data Center(Job site is in east Auror. Must be willing to travel in own vehicle to job site for 4 months. Must have 10 in 1 screwdriver, side cutters, cable strippers 14-24 AWG and trim screwdriver/tweaker. Every colleague is encouraged to participate in our Recruit Awesome People program, helping us grow by promoting our colleague-first culture and referring top talent to the Talent Acquisition Team and hiring managers. Acts as our"
3, Data Analyst , Data Analytix LLC ,"Data analyst Denver CO (Onsite), Fulltime Data Analyst:Data analysts are professionals responsible for interpreting and analyzing complex data sets to extract actionable insights. Their role involves collecting, organizing, and processing data to help Frontier Airlines for making informed decisions. Roles and Responsibilities:Data Collection:Gathering data from various sources, including databases, spreadsheets, and APIs.Data Cleaning and Preparation:Ensuring data accuracy, cleaning inconsistencData analyst Denver CO (Onsite), Fulltime Data Analyst:Data analysts are professionals responsible for interpreting and analyzing complex data sets to extract actionable insights. Their role involves collecting, organizing, and processing data to help Frontier Airlines for making informed decisions. Roles and Responsibilities:Data Collection:Gathering data from various sources, including databases, spreadsheets, and APIs.Data Cleaning and Preparation:Ensuring data accuracy, cleaning inconsistencData analyst Denver CO (Onsite), Fulltime Data Analyst:Data analysts are professionals responsible for interpreting and analyzing complex data sets to extract actionable insights. Their role involves collecting, organizing, and processing data to help Frontier Airlines for making informed decisions. Roles and Responsibilities:Data Collection:Gathering data from various sources, including databases, spreadsheets, and APIs.Data Cleaning and Preparation:Ensuring data accuracy, cleaning inconsistencData analyst Denver CO (Onsite), Fulltime Data Analyst:Data analysts are professionals responsible for interpreting and analyzing complex data sets to extract actionable insights. Their role involves collecting, organizing, and processing data to help Frontier Airlines for making informed decisions. Roles and Responsibilities:Data Collection:Gathering data from various sources, including databases, spreadsheets, and APIs.Data Cleaning and Preparation:Ensuring data accuracy, cleaning inconsistenc"
4, Data Analyst , Kforce Technology Staffing ,"RESPONSIBILITIES: Kforce is partnered with a client in Denver, CO that is looking for a seasoned Data Analyst.  Summary: This position will be part of a team made up of other data analysts, data engineers, data architects, and GIS specialists. Collaboration and teamwork are critical. The customers requesting assistance may have varying levels of expertise and their data needs will have different levels of complexity. It is expected that the analyst will coordinate and facilitate meetings with cuRESPONSIBILITIES: Kforce is partnered with a client in Denver, CO that is looking for a seasoned Data Analyst.  Summary: This position will be part of a team made up of other data analysts, data engineers, data architects, and GIS specialists. Collaboration and teamwork are critical. The customers requesting assistance may have varying levels of expertise and their data needs will have different levels of complexity. It is expected that the analyst will coordinate and facilitate meetings with cuRESPONSIBILITIES: Kforce is partnered with a client in Denver, CO that is looking for a seasoned Data Analyst.  Summary: This position will be part of a team made up of other data analysts, data engineers, data architects, and GIS specialists. Collaboration and teamwork are critical. The customers requesting assistance may have varying levels of expertise and their data needs will have different levels of complexity. It is expected that the analyst will coordinate and facilitate meetings with cuRESPONSIBILITIES: Kforce is partnered with a client in Denver, CO that is looking for a seasoned Data Analyst.  Summary: This position will be part of a team made up of other data analysts, data engineers, data architects, and GIS specialists. Collaboration and teamwork are critical. The customers requesting assistance may have varying levels of expertise and their data needs will have different levels of complexity. It is expected that the analyst will coordinate and facilitate meetings with cu"
5, Data Quality Analyst , TEKsystems c/o Allegis Group ,"Data Quality Analyst will be responsible for examining complex data to optimize the efficiency and quality of the data being collected, resolving data quality problems as well as working with various enterprise level and local data management governance, data architecture, data engineering/development, and data quality teams. Will contribute to efforts to capture and manage data dictionaries/catalogue, data lineage, and all forms of business, technical and operational metadata within the MetadatData Quality Analyst will be responsible for examining complex data to optimize the efficiency and quality of the data being collected, resolving data quality problems as well as working with various enterprise level and local data management governance, data architecture, data engineering/development, and data quality teams. Will contribute to efforts to capture and manage data dictionaries/catalogue, data lineage, and all forms of business, technical and operational metadata within the MetadatData Quality Analyst will be responsible for examining complex data to optimize the efficiency and quality of the data being collected, resolving data quality problems as well as working with various enterprise level and local data management governance, data architecture, data engineering/development, and data quality teams. Will contribute to efforts to capture and manage data dictionaries/catalogue, data lineage, and all forms of business, technical and operational metadata within the Metadat"
6, Data Scientist - Cybersecurity (BHJOB22048_730) , ITmPowered ,"Data Scientist (AI/ML) - Medical Device Cybersecurity - ITmPowered Consulting  The Sr. Data Scientist will apply Data Science to enterprise Medical Device Cybersecurity, Network security, Attacks & Events. Leverage big data in support of an enterprise scale Medical Device Cybersecurity program spanning Risk Management, Cyber Digital Transformation, Threat Management, Network Security, End Point Security, IT Controls, Security Operations and Identity and Data Management. Will have direct impact pData Scientist (AI/ML) - Medical Device Cybersecurity - ITmPowered Consulting  The Sr. Data Scientist will apply Data Science to enterprise Medical Device Cybersecurity, Network security, Attacks & Events. Leverage big data in support of an enterprise scale Medical Device Cybersecurity program spanning Risk Management, Cyber Digital Transformation, Threat Management, Network Security, End Point Security, IT Controls, Security Operations and Identity and Data Management. Will have direct impact pData Scientist (AI/ML) - Medical Device Cybersecurity - ITmPowered Consulting  The Sr. Data Scientist will apply Data Science to enterprise Medical Device Cybersecurity, Network security, Attacks & Events. Leverage big data in support of an enterprise scale Medical Device Cybersecurity program spanning Risk Management, Cyber Digital Transformation, Threat Management, Network Security, End Point Security, IT Controls, Security Operations and Identity and Data Management. Will have direct impact pData Scientist (AI/ML) - Medical Device Cybersecurity - ITmPowered Consulting  The Sr. Data Scientist will apply Data Science to enterprise Medical Device Cybersecurity, Network security, Attacks & Events. Leverage big data in support of an enterprise scale Medical Device Cybersecurity program spanning Risk Management, Cyber Digital Transformation, Threat Management, Network Security, End Point Security, IT Controls, Security Operations and Identity and Data Management. Will have direct impact p"
7, Docucare Associate , Randstad Digital ,"job summary:  Randstad is partnering with a multinational technologies corporation to find a Docucare Associate to support a client in their Golden, CO office. The ideal candidate will have 1+ year in a customer-facing environment, as well as experience with inventory management and basic computer functions. This is a fully onsite position, and proof of COVID-19 vaccination will be required.  location: Golden, Colorado  job type: Contract  salary: $20 - 22  per hour  work hours: 8am to 5pm  educjob summary:  Randstad is partnering with a multinational technologies corporation to find a Docucare Associate to support a client in their Golden, CO office. The ideal candidate will have 1+ year in a customer-facing environment, as well as experience with inventory management and basic computer functions. This is a fully onsite position, and proof of COVID-19 vaccination will be required.  location: Golden, Colorado  job type: Contract  salary: $20 - 22  per hour  work hours: 8am to 5pm  educjob summary:  Randstad is partnering with a multinational technologies corporation to find a Docucare Associate to support a client in their Golden, CO office. The ideal candidate will have 1+ year in a customer-facing environment, as well as experience with inventory management and basic computer functions. This is a fully onsite position, and proof of COVID-19 vaccination will be required.  location: Golden, Colorado  job type: Contract  salary: $20 - 22  per hour  work hours: 8am to 5pm  educ"
8, IT Service Desk , Horizontal Talent ,"Overview: The Service Desk Technician will provide support of internal systems, hardware and applications while coordinating with internal support teams to minimize disruptions to business operations. The ideal candidate embodies our values of Integrity, Courage, Passion, Curiosity, Impact and being Human Centered. Essential Duties and Responsibilities:Serve as first point of contact for technical support to employees via calls, chat, email, and remote supportUtilize technical skills, historicalOverview: The Service Desk Technician will provide support of internal systems, hardware and applications while coordinating with internal support teams to minimize disruptions to business operations. The ideal candidate embodies our values of Integrity, Courage, Passion, Curiosity, Impact and being Human Centered. Essential Duties and Responsibilities:Serve as first point of contact for technical support to employees via calls, chat, email, and remote supportUtilize technical skills, historicalOverview: The Service Desk Technician will provide support of internal systems, hardware and applications while coordinating with internal support teams to minimize disruptions to business operations. The ideal candidate embodies our values of Integrity, Courage, Passion, Curiosity, Impact and being Human Centered. Essential Duties and Responsibilities:Serve as first point of contact for technical support to employees via calls, chat, email, and remote supportUtilize technical skills, historical"
9, Information Systems Security Officer , Deloitte ,"Are you looking to elevate your cyber career? Your technical skills? Your opportunity for growth? Deloitte's Government and Public Services Cyber Practice (GPS Cyber Practice) is the place for you! Our GPS Cyber Practice helps organizations create a cyber minded culture and become stronger, faster, and more innovative. You will become part of a team that advises, implements, and manages solutions across five verticals: Strategy, Defense and Response; Identity; Infrastructure; Data; and ApplicatiAre you looking to elevate your cyber career? Your technical skills? Your opportunity for growth? Deloitte's Government and Public Services Cyber Practice (GPS Cyber Practice) is the place for you! Our GPS Cyber Practice helps organizations create a cyber minded culture and become stronger, faster, and more innovative. You will become part of a team that advises, implements, and manages solutions across five verticals: Strategy, Defense and Response; Identity; Infrastructure; Data; and ApplicatiAre you looking to elevate your cyber career? Your technical skills? Your opportunity for growth? Deloitte's Government and Public Services Cyber Practice (GPS Cyber Practice) is the place for you! Our GPS Cyber Practice helps organizations create a cyber minded culture and become stronger, faster, and more innovative. You will become part of a team that advises, implements, and manages solutions across five verticals: Strategy, Defense and Response; Identity; Infrastructure; Data; and Applicati"
