,job_title,company,description
0, (Canada Location) Data Scientist (AI/ML) - Remote , Empower Professionals ,"Role: Data Scientist (AI/ML) Location: Remote Canada (PST time zone only) Duration: 12+ Months  Note: Need candidates who did PHD.  Requirements: Machine Learning, NLP, AI ML (4 Yrs), Python (4 Yrs), Keras (4 Yrs), Pandas (4 Yrs), Time Series (1 yr.), Data Engineering, GPT-3, GANs, Transformers(BERT and T5), LLM5+ years of experience in AI, Generative AI, and Machine Learning.Proficiency in mandatory skills, including Machine Learning, Python, Keras.Strong knowledge of Generative AI technologiesRole: Data Scientist (AI/ML) Location: Remote Canada (PST time zone only) Duration: 12+ Months  Note: Need candidates who did PHD.  Requirements: Machine Learning, NLP, AI ML (4 Yrs), Python (4 Yrs), Keras (4 Yrs), Pandas (4 Yrs), Time Series (1 yr.), Data Engineering, GPT-3, GANs, Transformers(BERT and T5), LLM5+ years of experience in AI, Generative AI, and Machine Learning.Proficiency in mandatory skills, including Machine Learning, Python, Keras.Strong knowledge of Generative AI technologiesRole: Data Scientist (AI/ML) Location: Remote Canada (PST time zone only) Duration: 12+ Months  Note: Need candidates who did PHD.  Requirements: Machine Learning, NLP, AI ML (4 Yrs), Python (4 Yrs), Keras (4 Yrs), Pandas (4 Yrs), Time Series (1 yr.), Data Engineering, GPT-3, GANs, Transformers(BERT and T5), LLM5+ years of experience in AI, Generative AI, and Machine Learning.Proficiency in mandatory skills, including Machine Learning, Python, Keras.Strong knowledge of Generative AI technologies"
1, .NET Developer , BayOne Solutions ,"We have this following position with one of our Direct clients and I wanted to see if you would be interested, please attach yourupdated Resume with LinkedIn profileor You know anybody who is looking for job. Please feel free to connect with me.  Title- Software Engineer Location-Remote Pay rate-$65-70/hr on W2 Interview- Video (2 Rounds)  Who You Are: As a Senior Software Engineer, you have a proven track record of success delivering projects of critical importance. You are comfortable with botWe have this following position with one of our Direct clients and I wanted to see if you would be interested, please attach yourupdated Resume with LinkedIn profileor You know anybody who is looking for job. Please feel free to connect with me.  Title- Software Engineer Location-Remote Pay rate-$65-70/hr on W2 Interview- Video (2 Rounds)  Who You Are: As a Senior Software Engineer, you have a proven track record of success delivering projects of critical importance. You are comfortable with botWe have this following position with one of our Direct clients and I wanted to see if you would be interested, please attach yourupdated Resume with LinkedIn profileor You know anybody who is looking for job. Please feel free to connect with me.  Title- Software Engineer Location-Remote Pay rate-$65-70/hr on W2 Interview- Video (2 Rounds)  Who You Are: As a Senior Software Engineer, you have a proven track record of success delivering projects of critical importance. You are comfortable with botWe have this following position with one of our Direct clients and I wanted to see if you would be interested, please attach yourupdated Resume with LinkedIn profileor You know anybody who is looking for job. Please feel free to connect with me.  Title- Software Engineer Location-Remote Pay rate-$65-70/hr on W2 Interview- Video (2 Rounds)  Who You Are: As a Senior Software Engineer, you have a proven track record of success delivering projects of critical importance. You are comfortable with bot"
2, .NET Developer , Prominds Business Consulting Inc ,".NET Developer Remote Long term contract Must-have skills: 6+ years with .NET (C#, ) ; 2+ y with MS-SQL and Microsoft SQL Server Management Studio, and RedGate SQL Toolbelt; JavaScript, CSS, MVVM pattern libraries (Vue.js and React.js); Azure certificates. .NET technologies C#/experience (5+ years);  Experience developing enterprise-wide software solutions (2+ years);  Experience with MS-SQL writing stored procedures and database schema design (2+ years); Microsoft operating systems experience ("
3," .NET Developer, $60/HR, Multi-year long project. ", FASTRA LLC ,Job Title- .NET Developer Rate- $60/HR Location- Remote Multi-year long project. Required skills- ASP.Net webform developmentWCF servicesSQL Development
4, .Net Developer , TrueSkilla ,"Skills Required: Front End  Presentation Layer (10%) Middle Tier  Logic Layer (60%) Back End  Data Layer (30%) Programming C# - (50%) (10%) SQL  (30%) Other Analysis & Design  (10%) Must have 5 years of experience in Enterprise Code DevelopmentMinimum 5 years of experience Designing, building and implementing stable, high quality , high performance applicationsMinimum 5 years of experience in Analysis , Design and CodingMinimum 5 years of development experience usingSQL Server 2012 (or higher) dSkills Required: Front End  Presentation Layer (10%) Middle Tier  Logic Layer (60%) Back End  Data Layer (30%) Programming C# - (50%) (10%) SQL  (30%) Other Analysis & Design  (10%) Must have 5 years of experience in Enterprise Code DevelopmentMinimum 5 years of experience Designing, building and implementing stable, high quality , high performance applicationsMinimum 5 years of experience in Analysis , Design and CodingMinimum 5 years of development experience usingSQL Server 2012 (or higher) dSkills Required: Front End  Presentation Layer (10%) Middle Tier  Logic Layer (60%) Back End  Data Layer (30%) Programming C# - (50%) (10%) SQL  (30%) Other Analysis & Design  (10%) Must have 5 years of experience in Enterprise Code DevelopmentMinimum 5 years of experience Designing, building and implementing stable, high quality , high performance applicationsMinimum 5 years of experience in Analysis , Design and CodingMinimum 5 years of development experience usingSQL Server 2012 (or higher) dSkills Required: Front End  Presentation Layer (10%) Middle Tier  Logic Layer (60%) Back End  Data Layer (30%) Programming C# - (50%) (10%) SQL  (30%) Other Analysis & Design  (10%) Must have 5 years of experience in Enterprise Code DevelopmentMinimum 5 years of experience Designing, building and implementing stable, high quality , high performance applicationsMinimum 5 years of experience in Analysis , Design and CodingMinimum 5 years of development experience usingSQL Server 2012 (or higher) d"
5," .Net Developer 100% remote (Must have: .NetCore, DAS, LabVIEW, DAQmx, Diadem, C#, CI/CD, GIT,VueJS) 12 months contract - Direct client... ", Accion Labs ,"JD: 10+ years of software development in developing web applications and client/server applications on Linux/Windows environment 7+ years of .NET development experience and the ability to work and complete tasks independently Experience working with DAS (Data Acquisition Systems) such as LabVIEW, DAQmx, Diadem Understanding of SDLC development methodologies such as SCRUM and Agile Handson experience with .NET solution frameworks Strong experience in C# (.net core 3.1/5.0+) Experience on VB ExperJD: 10+ years of software development in developing web applications and client/server applications on Linux/Windows environment 7+ years of .NET development experience and the ability to work and complete tasks independently Experience working with DAS (Data Acquisition Systems) such as LabVIEW, DAQmx, Diadem Understanding of SDLC development methodologies such as SCRUM and Agile Handson experience with .NET solution frameworks Strong experience in C# (.net core 3.1/5.0+) Experience on VB ExperJD: 10+ years of software development in developing web applications and client/server applications on Linux/Windows environment 7+ years of .NET development experience and the ability to work and complete tasks independently Experience working with DAS (Data Acquisition Systems) such as LabVIEW, DAQmx, Diadem Understanding of SDLC development methodologies such as SCRUM and Agile Handson experience with .NET solution frameworks Strong experience in C# (.net core 3.1/5.0+) Experience on VB Exper"
6, .Net developer , Pro Integrate ,"Senior Full Stack Software Engineer Location: Remote Mode of Hire: Fulltime Must have- CosmosDB/MongoDB, GraphQL, Azure, .Net, Nodejs, ReactJS  Responsibilities 1. Collaborate with the Product Manager and other developers across the company to design and build a real-time, web-based system for freight management, including React UI and other microservices. 2. Creatively solve problems 3. Be curious and use that curiosity to maximize your impact 4. Ensure interfaces function quickly and beautiful"
7, 100% REMOTE: Sr AIX Administrator , Parmesoft Inc. ,"Please send the resume to augustin (at) parmesoft (dot) com 100% REMOTE   Title: Sr AIX Administrator Location: 100% Remote (Client is in Dallas, TX) Duration: 12+ Months - Long Term  Rate: D.O.E  Its a 100% Remote Opportunity  10+ years configuring and supporting: Install and configure AIX operating systems and servers.Support AIX OS to run various software applications.Maintain and upgrade the AIX OS.Install and test AIX OS patches.Develop procedures for AIX security and management. Update staPlease send the resume to steve (dot) sundar (at) parmesoft (dot) com  100% REMOTE  VERY URGENT REQUIREMENT  Title: Sr AIX Administrator Location: Dallas, TX (REMOTE) Duration: Long Term 10+ years configuring and supporting: Install and configure AIX operating systems and servers.Support AIX OS to run various software applications.Maintain and upgrade the AIX OS.Install and test AIX OS patches.Develop procedures for AIX security and management. Update standard policies according to environment cPlease send the resume to augustin (at) parmesoft (dot) com 100% REMOTE   Title: Sr AIX Administrator Location: 100% Remote (Client is in Dallas, TX) Duration: 12+ Months - Long Term  Rate: D.O.E  Its a 100% Remote Opportunity  10+ years configuring and supporting: Install and configure AIX operating systems and servers.Support AIX OS to run various software applications.Maintain and upgrade the AIX OS.Install and test AIX OS patches.Develop procedures for AIX security and management. Update staPlease send the resume to steve (dot) sundar (at) parmesoft (dot) com  100% REMOTE  VERY URGENT REQUIREMENT  Title: Sr AIX Administrator Location: Dallas, TX (REMOTE) Duration: Long Term 10+ years configuring and supporting: Install and configure AIX operating systems and servers.Support AIX OS to run various software applications.Maintain and upgrade the AIX OS.Install and test AIX OS patches.Develop procedures for AIX security and management. Update standard policies according to environment cPlease send the resume to augustin (at) parmesoft (dot) com 100% REMOTE   Title: Sr AIX Administrator Location: 100% Remote (Client is in Dallas, TX) Duration: 12+ Months - Long Term  Rate: D.O.E  Its a 100% Remote Opportunity  10+ years configuring and supporting: Install and configure AIX operating systems and servers.Support AIX OS to run various software applications.Maintain and upgrade the AIX OS.Install and test AIX OS patches.Develop procedures for AIX security and management. Update staPlease send the resume to steve (dot) sundar (at) parmesoft (dot) com  100% REMOTE  VERY URGENT REQUIREMENT  Title: Sr AIX Administrator Location: Dallas, TX (REMOTE) Duration: Long Term 10+ years configuring and supporting: Install and configure AIX operating systems and servers.Support AIX OS to run various software applications.Maintain and upgrade the AIX OS.Install and test AIX OS patches.Develop procedures for AIX security and management. Update standard policies according to environment c"
8, 100% Remote Facets Developer , DMS Vision Inc. ,"Hi, Hope you are doing well. Please find the job description given below and let me know your interest. Position:100% Remote Facets Developer Location:100% Remote Duration: 3Months  Job Description: Focus on customer and desired business outcomes in the design and build of solutionsWrite, debug and test code to create working solutionsUnderstand and apply unique programming/scripting languages specific to software engineeringConsider security, scalability, reliability & feasibility in solution d"
10, 5B (Sr Technical Lead) - CFML , Alpha Silicon ,Skill: COLDFUSION/ReactJS/API Development  Mandatory Skills: Migration of applications from CFML to Microservices / React JS applications. JD for the ColdFusion Markup Language (CFML) Developer: JD :  We are seeking a talented Software Developer. This individual will be a trusted member of a small team and must be able to expand their responsibility over time to support Allegro Credit's continued growth and success.  Key Responsibilities Lead and architect solutions that meet Allegro business reSkill: COLDFUSION/ReactJS/API Development  Mandatory Skills: Migration of applications from CFML to Microservices / React JS applications. JD for the ColdFusion Markup Language (CFML) Developer: JD :  We are seeking a talented Software Developer. This individual will be a trusted member of a small team and must be able to expand their responsibility over time to support Allegro Credit's continued growth and success.  Key Responsibilities Lead and architect solutions that meet Allegro business reSkill: COLDFUSION/ReactJS/API Development  Mandatory Skills: Migration of applications from CFML to Microservices / React JS applications. JD for the ColdFusion Markup Language (CFML) Developer: JD :  We are seeking a talented Software Developer. This individual will be a trusted member of a small team and must be able to expand their responsibility over time to support Allegro Credit's continued growth and success.  Key Responsibilities Lead and architect solutions that meet Allegro business re
11, AI Python Full Stack Engineer (Azure) - W2/1099 Only , Tekva LLC ,"Hello,  Greetings for the day!  This is  Abhinay Nampally (Recruitment Manager)  from  TEKVA LLC. One of our Clients is looking for  AI Full Stack Engineers (Python & Azure) || Remote. Please let me know if you are interested in this position. I would love to chat with you further. Position: AI Full Stack Engineers (Python & Azure)  Location: Remote Duration: Long Term JOB DESCRIPTION:  Required Qualifications: Minimum 5 years of relevant experience Ideal candidate would be full-stack and able tHello,  Greetings for the day!  This is  Abhinay Nampally (Recruitment Manager)  from  TEKVA LLC. One of our Clients is looking for  AI Full Stack Engineers (Python & Azure) || Remote. Please let me know if you are interested in this position. I would love to chat with you further. Position: AI Full Stack Engineers (Python & Azure)  Location: Remote Duration: Long Term JOB DESCRIPTION:  Required Qualifications: Minimum 5 years of relevant experience Ideal candidate would be full-stack and able tHello,  Greetings for the day!  This is  Abhinay Nampally (Recruitment Manager)  from  TEKVA LLC. One of our Clients is looking for  AI Full Stack Engineers (Python & Azure) || Remote. Please let me know if you are interested in this position. I would love to chat with you further. Position: AI Full Stack Engineers (Python & Azure)  Location: Remote Duration: Long Term JOB DESCRIPTION:  Required Qualifications: Minimum 5 years of relevant experience Ideal candidate would be full-stack and able t"
