,job_title,company,location,job_search,date_range
0,Accounts Receivable Analyst,Daikin Comfort Technologies,"Denver, CO 80202 (Union Station area)",Data Analyst,0
1,Asset Analyst and Scheduler,"Builder's Resource Group, Inc.","Greenwood Village, CO 80112",SQL Analyst,0
2,Business Analyst,Western Union,"Hybrid remote in Denver, CO 80237",Data Analyst,0
3,Computer Data Analyst - Must be in Lakewood/Denver CO,Clear Global Solutions LLC,"Lakewood, COLakewood, CO",SQL AnalystData Analyst,0
4,Data Analyst,City of Englewood,"Englewood, CO 80110Englewood, CO 80110",SQL AnalystData Analyst,0
5,Data Analyst - Level I (3765),"GVI, Inc.","Denver, CO",Data Analyst,0
6,Data Analyst - Level I (3765),"Three Saints Bay, LLC","Denver, CO",Data Analyst,0
7,Data Analyst/Spotfire,VeriCour,"Hybrid remote in Denver, CO 80202",Data Analyst,0
8,Data Analytics/Fraud Strategy Analyst,Inclusively,"Lone Tree, CO 80124Lone Tree, CO 80124",SQL AnalystData Analyst,0
9,Lending Business Analyst,Credit Union of Denver,"Lakewood, CO 80226 (Bonvue area)",Data Analyst,0
10,Post Doc Fellow- Health Informatics and Data Science,University of Colorado,"Hybrid remote in Aurora, CO",Data Scientist,0
11,Project Engineer - Data Center (TS/SCI with Polygraph Required),Fluor Corporation,"Denver, CO",Data Engineer,0
12,Risk Analyst,"OmniTRAX, Inc","Denver, CO 80206 (Cherry Creek area)",Data Analyst,0
13,Risk Quantitative Asst Analyst ANL539,Xcel Energy,"Denver, CO 80202 (Union Station area)",SQL Analyst,0
14,Salesforce Business Intelligence Analyst,Armstrong Receivable Management,"Greenwood Village, COGreenwood Village, CO",SQL AnalystData Analyst,0
18,Sr IT Systems Analyst - Commercial Operations,Xcel Energy,"Denver, CO 80202 (Union Station area)",SQL Analyst,0
19,Sr Loan Boarding Data Analyst,"Cornerstone Capital Bank, SSB","Englewood, CO 80112Englewood, CO 80112Englewood, CO 80112",SQL AnalystData AnalystData Scientist,0
20,Sr. Business Analyst,Inclusively,"Lone Tree, CO 80124",Data Analyst,0
21,Staff Data Solutions Engineer,"Findhelp, A Public Benefit Corporation","Denver, CO",Data Engineer,0
22,Supply Chain Analyst,DISH,"Englewood, CO 80112",SQL Analyst,0
