,job_title,company,job_search,location,date_range,link
0,Avantis/AVEVA Data Business Analyst/Project Manager - Remote!,                Dice,Data Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3802936678/?eBP=CwEAAAGM9QginmBokRQfwMv-FCuHaCn1nNji21ddd2-cJQrRjYZjnBqxIx7XLCK3EnaKa-Euu2wag_wP3BnZfuH6XJNuVT8z-Zuu9cuUOq8iEKw5NexPs0wjRHP53G8XwchiBc5E2ekJxfDT4rPxrMTK6KcHe4Jep7YUVmy5MLE-VBbXEKadJ1Jvv0iTrVViYJEhEZDUXOemMVfpwFOf64GBnMt_0WFng1gG_9KEYjRT0t5c5Wsy2DbcD4jmbJlXEYBUEWGYQ5YO2At8LEkvf9Q9YcW3530wVBj7F5OrsMVtWA19BjVRsgilq6EBSpIqBpSJ6i8QDhNcv9x-dFE-MRJp4Aqdm4gt7nWkRE9Ez-2HF05KSKcakzRRf4yiaW4GST495y8cVYEZCn8&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=VozwoydiuDFhSpbpwRR15g%3D%3D&trk=flagship3_search_srp_jobs
1,Business Intelligence Analyst Intern 4 months - Summer 2024,                Ceridian,Data Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3790447928/?eBP=CwEAAAGM9QginnCzRqsdj-1O7or4TQVD_1BGDbgDcK9bldcNqPZGJyiAVNbou59Ljsw9575W5Xi0wqpH7Cui25m5P4cq69PEIu5PpXgj4rVLhyykWSKnxSxl_1gvsUKy-RqOoicSYsGaQxuCXawrerN4tcthBp2XQ949xlfFOTBq9ulRWr6O3C8nHVWm_arkw7rJTWjRumZtzPDIFykbfV4Ha4owIP6U4KnH9XoV75g6EGaIgYZ5VrF-ozCpWlxXJF6s-KoVxtg8FUtLZY9aLtNT0dsTHxEA9QJE3npdGPlEVgaAmgmUsppo5uB5mfvRVLb7ELD_VKKfJHXbVYZkY4bvwB2evAb-bXNW7BF7b5t22l20YKQb69JngQppB-qVO1EBYmoPG6ApZRU&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=Q%2BZfxtJknA8FAY27bOnyRw%3D%3D&trk=flagship3_search_srp_jobs
2,Data Analyst,                Dice,Data Analyst,"Centennial, Colorado | Remote",0,/jobs/view/3802940860/?eBP=CwEAAAGM9Qgin_SDlUSOFPHX3xnkqqB4nX1s2UGv8PKqvX2jeVrQDHGbXuQX-QN9liUT1on-LEKiw8twfUvh8JustJXoz-xjM_JTZMi-MYzlgzjqu9yCScVy1pLP7VXiRzmSjsiuZjBzZA_B_Dfy94zX0ZT5HrdIYrg1PwPVbCjDlirtXnIdoJ7mNrh0edZGlsE_sOpy0NTKj2ZeWYh13suorUOhrIQpGib4lYOiSH00gJ1BuqbjU8nz7oeMp3gxSidA4hIMVFL2knVB9S9gHTCSS24-CFOggO4_mcIvx1TNWZPHcuy62IE2sdeEGNdijaSKUcuJjJDcggHbFAq2KQkX253oUUmAGEEr7dNi5TIAo5zNPuJXcbPXm9NUnxE2eerKjF1j4xTCcozH_A&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=YK7lluYNtGkK0U245wQp%2BA%3D%3D&trk=flagship3_search_srp_jobs
3,Data Center Facility Operations Reliability Engineer,                Meta,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3802748083/?eBP=CwEAAAGM9QkKP01YZUQ246Chf7pA1WRDYdhhhCro_0ECHb7cQv0oRugK-pTaJgKe4bv8ryutYIV5JzzgwKmRS4k9v_i4Uow-Wt2CQRA2cOLZhulhVQTSP_XC0IYhoApiw1Av2LSeySeA0AklzKfruDfe6D7bVW5EWxU2l9MajZnq3wGamUF8xHmjxV1AG1Qq6oUjG7FLpo2BYnn-Ohtx5TQqcEOyCX5AVnhw4uxUGll1O5jdd-4ufeqYwb1Oz5ZKkZBsbxRr49K8Y-0bPRV_MhG6szGeLLzQbLwS2Vz1HOuY2gWHp4vM_pPV0pJal5VTCDsewmOq3vKbapSk-EBmh-YbP7hBlh8qBoJ-a1znJSIvxZrGG8cO0YBmfS3X_g9NOQThoP-OM4EU0GU&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=YgzxkOpIY%2BRuhs22PYNHeg%3D%3D&trk=flagship3_search_srp_jobs
4,Data Ops Infra Engineer,                Dice,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3802938447/?eBP=CwEAAAGM9QkKPzzzuOeKXcFOAsaYbbpUoYfmvIItrcnxPcl_WRoRADDiOgug7xwkouhWgea8jcu-CIAJlPKkAcFJFvP3j2KLAbw9M8uW0Rja54XK9iiFp3Mnrf-3FFLawbJf1gE7DunxkqMKB4yF0vdhvb1njlnh79X47cDWIg7QYqOyO8vj6H9_oiDeg2qb0jqxPm3p4lXsCdWT8wEOuZ9xhhw_N09GDjb7yfKxC3ZtTkRQ0LscbkeUx-i4WN2MlyWibaAxYjKdTIcO0pqRa4PMkPPiraf0R6uA6mBNjwkHTJr0qLQl4H-m3jd0o_obDf0B7ZTaAH0nXGl3kzvDfcQllFAnK1ODAMlkDw0SONvC8Lu2dHv0e4fQeeogNZeBMawY5BMizjXs&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=Revh8bUdJNzH4qvSEen0xw%3D%3D&trk=flagship3_search_srp_jobs
5,Data Ops Infra Engineer (No C2C),                Dice,Data Engineer,"Centennial, Colorado | Remote",0,/jobs/view/3802937553/?eBP=CwEAAAGM9QkKP_VzaWRC_dkXNrJKYM-P-fDWIhZqZN1hvjKrgPf9s4BdZU4mWSh2jKiPTCkhtg5F-85be7AqGrlUilRzQbdNUDwD1rRxYkn5ksFKQlnNVTdxdnCJO5mK-WJ4pE54JG-tpgy_d1ZLJ1hrBg-GT4cPyTERTuoigYLhl132G_rA7wp_mEG8c191ooTauUIuEQhc_edjTCylDXxMLcH7ImIErqN5I_KoPo9OQY4fya2rQW7JuSAvFrjgQwcNTxDz5ESt60GpJdaM0shuvC_gziAIsqgQWcJAPR1kMkfcLk_UYt7L0WHn3OHEqtIcdSsGEcgKovPZV8wIK_m5m8wWljhBDlkwsHbeK5W4at1P5uNsdGR6iLhgmXAb8kzvgqtwyMrZLN0&refId=nDxQ%2FsE8RJycTcE5CWgtqA%3D%3D&trackingId=hRwoMnC7rmjl%2FGtIYFSlpw%3D%3D&trk=flagship3_search_srp_jobs
6,"Data Research Analyst, gt.school (Remote) - $60,000/year USD",                Crossover ,Data AnalystData Analyst,"Centennial, Colorado | RemoteCentennial, Colorado | Remote",0,/jobs/view/3801852720/?eBP=CwEAAAGM9Qginkv9jt_LJQXpBmKrxVvOiGSJZGxsK1T7kTLi-NpobilpAK1qcC7YWa8n5fUi2q1tOxdDnyB-ondEcVZO21PmjQBwn1RBoRDi6OeLzMoYPQCElQcHU1WnRIHbdT6XlAWX21XlVy3mLFW8WLX1NDYIygWdAQqk8osYyNAaPiMG9SPJvLxlgRpjRc90w56WnQRL-CaBQH1kjyS3LbP1pZB0gcDoBDx9zyiy1fpfVhvDZwzrOQi9BoV0qBvA8xXnxxn6LngeVA6zFRYaj2r1YuS9qC-XveWwYeaZaowA2pKFATMVFyp2uI1Wx5cVJCzbWRq3NNqCRXTvk3IOjr2r1BtzoQ2AGKj1l598NqYK1VuCrWZ8fIunyHBX99JlaK1vCQFK8Ow&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=EPZaLBIsYIG3jy8BhwX07Q%3D%3D&trk=flagship3_search_srp_jobs/jobs/view/3801852257/?eBP=CwEAAAGM9QginxNonkPA3_oLTuJZxzdm6C7luK1vLpA7hkWPNDXJ9WmCZ8nYdU7-9jmpAbf4lrgLXYRvEDxvxoMPCI7WLxzmBTT5gseM_2Z18B8PhO6T3zr_DGhnig0hTwuXeEKj0J2dQZ7GRfdkmI4yUUk-yU_J-n6s3YY5KhUT_SNJKYfyhwqmxiFi8hqK5PV7wUbXfri-hTGyLWxOIwxzTye6D2b7K8ACIg-CyVQX4lk7a9Cfo5vY-oaCQypOyZOAHwixk_jcPyPCxxpmFqIQqGR-69T240UC50-MZ4i833xBSPeXvjdsLVLzqmXJ_ApIaT6g5Tp_tYBS40g-m2fIsbJcT8YyrEqHiMUx--Z5oBe7JRZept-BNkLrHeQTfuoGYUIURCm7rb5ZFw&refId=13tn%2FKkn8fDOuwVq6Qxz4Q%3D%3D&trackingId=5g76hQbgDkOgRSgzB3Wz6g%3D%3D&trk=flagship3_search_srp_jobs
7,"Data Science / Machine Learning || San Antonio,TX",                Dice,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3802936723/?eBP=CwEAAAGM9QiWuIvk2qqfhoTnRmikszZGW-kx1NEsdtBz4UbR6-5EBKOJQ5kC3Q0RlyiYLkH3eXxknbwp0imHedd9tnJ-FhjsIX9fx80kaZD0NHbExCMRcERYCafv9Rr9a4fG4X95SwB7hn6KJ-ckmiNwVRXIRFUSBPqJol1aQA-HPZQXGhK0L6ne8JK4TAZZbdX3xkN96kYuGWR1TkeDOvmFtngOx1jKUZ0hwSNTrXFZtDMyU6sshnrwV__GzbRZeIP_zLNbeRTQTSu2EDcAIfvQRHh42K8xAvJB6tMrsPxKmNQD6-T7dPU-E1PZ2BwRHfuqMxjUJS526OdtrnkPSmhplksQbXhDGE6dlx_0mZTn8-i0_HwtvQINVBEVdWP6qjrjrApjX3iF0mg&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=OyijtJBhvXC9cgU2wYajNQ%3D%3D&trk=flagship3_search_srp_jobs
8,Data Scientist,                Artemis Consultants,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3802918175/?eBP=CwEAAAGM9QiWuHynLVhZEDPhltOP-pBSCajKcVt8CXLBZS8Y8rf-QGYsGTuQLLy5Vyt-Ni83G4RnvVeGbXpA2U0G4ID1iHNUn2y3ha30V0PmXWBEotnqjL5a3WI8rSKMCw-Zy7C8pqdnHrHJva28cxPqPvFJaHBBVWd2ezIc8j8J9VRJ_HtHiZ4pFLmCkhtE_0qAA0lTjy6Afh-t6D-hUgMA4S040dqO7FGgtpSevwaOh9dLj_pBjL-_KD6sRwB5Ao5CMfXN8slh2SN6makeykXMeDOEfiCTKSxVLHE0gqxtw6uD47bd7WMCzdabFh8G_WoVq_w-mVp4JP-2Vh-LCmwJuL6jHW_Ml62I&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=A9XSVHtuuYifIDwO274ksA%3D%3D&trk=flagship3_search_srp_jobs
9,"Data Scientist, gt.school (Remote) - $60,000/year USD",                Crossover ,Data Scientist,"Centennial, Colorado | Remote",0,/jobs/view/3801845825/?eBP=CwEAAAGM9QiWuFT-62eB9pkWGo1U9ny312SZTyQdnm_SG5_sFj4aUHQ9z9jJaheKj18GT4UiVaQbjXU6RINQFimLYOZJef1RWv4XpMZO0yb--IpSTRR22mu47l9YcAb5Si4IphZ5mZbevMzd-eExYHAPDa_vrPSv228iPKxx_xIXAzhVOcdLhUDiHM-2sPR6Vj8IU6qB1w-AdDwaBwYejPUFFOeIRseCdR__0QGE8UxFjktc5esMKUsoPGo9IHsmDb3xk66hfvYlmQ6SSa3bo_C2sbX0fH17r62MhyoTiflTcHFPvGT16fHQnkykqCr0v5zvV8xHF5ZbLhxIs3Cqk1qDd38GN1mEiEQx70z8_LF7zK9Nztwabrq1AHuCSWaQ6v_5AlaRva9ggHI&refId=8b4yDAimrt%2Be6Xox5ghRPQ%3D%3D&trackingId=xXL%2FhOso3Lt8z%2Btozvd87g%3D%3D&trk=flagship3_search_srp_jobs
