,job_title,company,job_search,location,date_range,link
0,"(Remote) Business Analyst-Defense & Energy Global Ops (AI, ML)",Vaco Technology,Data Analyst,"Baltimore, MD",today,//www.monster.com/job-openings/-remote-business-analyst-defense-energy-global-ops-ai-ml-baltimore-md--6e2f23cf-7608-4581-b2ef-e2d72a0d6fda?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.49&so=m.h.s&hidesmr=1&promoted=KEVEL
1,.NET Data Engineer,Jobot,Data ScientistData ScientistData ScientistData EngineerData EngineerData Engineer,"Boston, MAFort Washington, PANorcross, GABoston, MAFort Washington, PANorcross, GA",todaytodaytodaytodaytodaytoday,//www.monster.com/job-openings/-net-data-engineer-boston-ma--5027065f-977a-40b1-abe9-8652e4420d13?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.65&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-data-engineer-fort-washington-pa--3a37a066-b6d3-4675-b905-6ff70bf63a2b?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.82&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-data-engineer-norcross-ga--7ee25a80-0e87-4276-9e46-55be85f866ac?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.87&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-data-engineer-boston-ma--5027065f-977a-40b1-abe9-8652e4420d13?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.53&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-data-engineer-fort-washington-pa--3a37a066-b6d3-4675-b905-6ff70bf63a2b?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.75&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-data-engineer-norcross-ga--7ee25a80-0e87-4276-9e46-55be85f866ac?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.79&so=m.h.s&hidesmr=1
2,.NET Release Engineer--2nd Shift,Jobot,Data ScientistData ScientistData EngineerData Engineer,"Las Vegas, NVPhiladelphia, PALas Vegas, NVPhiladelphia, PA",todaytodaytodaytoday,//www.monster.com/job-openings/-net-release-engineer-2nd-shift-las-vegas-nv--553c2238-b600-431d-9302-a9dd95486864?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.undefined.s-svr.7&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/-net-release-engineer-2nd-shift-philadelphia-pa--41c9d585-c0a7-4a12-994b-76a020b62fc4?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.97&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-release-engineer-2nd-shift-las-vegas-nv--553c2238-b600-431d-9302-a9dd95486864?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.undefined.s-svr.6&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/-net-release-engineer-2nd-shift-philadelphia-pa--41c9d585-c0a7-4a12-994b-76a020b62fc4?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.85&so=m.h.s&hidesmr=1
3,.NET Web Developer,CAI,Data Engineer,"Allentown, PA",today,//www.monster.com/job-openings/-net-web-developer-allentown-pa--686fbf1a-e505-4a2f-a2e4-39c5600e7e76?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.undefined.s-svr.46&so=m.h.s&hidesmr=1&promoted=KEVEL
4,.Net/C# Developer,Genesis Corp./New Journey AI LLC,Data ScientistData Engineer,"Charlotte, NCCharlotte, NC",todaytoday,//www.monster.com/job-openings/-net-c-developer-charlotte-nc--dc9d61be-002b-4cd9-bc95-a47aca02e69a?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.80&so=m.h.s&hidesmr=1//www.monster.com/job-openings/-net-c-developer-charlotte-nc--dc9d61be-002b-4cd9-bc95-a47aca02e69a?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.80&so=m.h.s&hidesmr=1
5,Accounting Analyst,Creative Financial Staffing,Data Analyst,"Madison, WI",today,//www.monster.com/job-openings/accounting-analyst-madison-wi--770911b3-4912-4bd0-891d-2c875cee0769?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.39&so=m.h.s&hidesmr=1&promoted=KEVEL
6,Accounting Associate,Kforce Finance and Accounting,Data Analyst,"Lansdale, PA",today,//www.monster.com/job-openings/accounting-associate-lansdale-pa--0b503f1c-2f32-4616-b500-8fdac5ff904f?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.42&so=m.h.s&hidesmr=1&promoted=KEVEL
7,"Analyst Relations, Team Lead",Dropbox,Data Analyst,"Remote, CA",today,//www.monster.com/job-openings/analyst-relations-team-lead-san-diego-ca--a02ab3c1-aa0e-451e-8655-c7a8d48fbb67?sid=413011e2-19b5-49ab-8dd7-4f953664e62a&jvo=m.undefined.s-svr.31&so=m.h.s&hidesmr=1&promoted=KEVEL
8,Application Architect,Maven Companies Inc,Data ScientistData Engineer,ILIL,todaytoday,//www.monster.com/job-openings/application-architect-il--24b11682-41b9-4712-9d03-49f93615bfc1?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.go.s-svr.59&so=m.h.s&hidesmr=1//www.monster.com/job-openings/application-architect-il--24b11682-41b9-4712-9d03-49f93615bfc1?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.go.s-svr.55&so=m.h.s&hidesmr=1
9,Application Developer (Anaplan Integration),Zillow,Data ScientistData Engineer,"Remote, ORRemote, OR",todaytoday,//www.monster.com/job-openings/application-developer-anaplan-integration-remote-or--48b5aa0e-39c7-4e7a-8b08-b289f3fe3f14?sid=217abd70-69f5-49c9-84fc-02cd5a09bfcc&jvo=m.undefined.s-svr.47&so=m.h.s&hidesmr=1&promoted=KEVEL//www.monster.com/job-openings/application-developer-anaplan-integration-remote-or--48b5aa0e-39c7-4e7a-8b08-b289f3fe3f14?sid=09b6864d-28e8-4f44-b2d0-b6590a978070&jvo=m.undefined.s-svr.45&so=m.h.s&hidesmr=1&promoted=KEVEL
