,job_title,company,job_search,location,date_range,link
0,2023-24 Staffing ChairNEW!,Vega Collegiate Academy,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIkLfqR_FrBE_TpIiZAYqtsrXxFbRDH9Ff6PsBL5MHjGh_YOlqJXOKhTdVWxzPvLFak_9lS1ysHTpytEPrqRX3z_0ipZS6aGcy276WbdoS3NiwBvz4qX_zFMN0mYZ7tVT5VJVhaXsqrSa1heaSlPtQ7_0JYf3mnk8w63kbqfa8T6hTybWoht1s9ROyiNyRfYdMfi1m2OjdGJmuCJpzZ-74
1,"AWS databricks, Pyspark Python DeveloperNEW!",Siri InfoSolutions Inc,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJo9z9uSKw1wQo6jQZTcDwv2yVLrBijtFoPjvW49SOaQ3nVYB_g5j8tuvPIqWtstecLaLZKK1vapqrIIAGQxeKI3ajX33vvKAcIpJbOlHzwWHfXmdvMia6ifljUQxTOCeEvcOeWgMChrgs9IKQguXCKr9v5WlyCLhW2hGNwNkSJYC9dZNwqgIy_Krgti2tZ7g1LveXVRIF2dye2o0lSwg
2,BAS Controls Service Tech - Niagara N4NEW!,Haynes Mechanical Systems Inc,Data Engineer,"Englewood, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKkXOnElChmZz8z4Ba7reOoE5UoM1xYPw_HrJimMljTUhE4JFXlXo0wj6Dl_cfUTh7C23ZKaI_qRY3u26pwfwLlBlY4C_dzwVLlu5YnD841jqYyel7-S_GHOtxVcRzUa5iNK4_VOA_rFGBWh9kDZKHejUMwuNj4g6zEEsvt4KNNQA8Lku59RLuk_4wMbKAQO94gJiWysGaoVzguHmd31X4
3,BCBA/Board Certified Behavior Analyst (FT)NEW!,Success On The Spectrum,Data Engineer,"Castle Rock, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJWJ1Ktoq2xlr1rHhdD0WY0eCv5zPZ7EC6Y0HNbCDQWMFgj3DsEhhNkXq-4BW20dz9F4Re8Qy9XnrBQyUeaft4nljZ7GCr_m03H_ODjKYI-6TdIEdRhN9BDU2ObSSVLEj-cqP5z0sdCHdd3FunSJ_K9IQkNb9XO1rn29by8VD8AXXbFMtxrtYp3GCZiCVYWPda5jBL-s9pAdYu0fcLM1tw
4,Business AnalystNEW!,TEKsystems,SQL Analyst,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJ3FxbjyeJXVlaSyzsUXTqfaoQtC6S9_pSgtmCs2a4chNs5n0-jh0qsj5UhY1uQ02PmSQu5Ccu1_3NfiaoOjOd8EDDgz7Ll1ZTF6VaWwcm0E4U2XmDdwu4032Tjoe_bKNo2jwHn8sw1_ERvykU7BZSNztbmuNDS0OO5eDDbWCGTNKVb-uswROBoG3gEC2q0HaA_QsDDkuzxFtY3a1nDCg
5,IT/IA/IM Project IntegratorNEW!,"Systems Planning and Analysis, Inc.",Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIF8lyVGhDNwE16_w2yGX9cFej6K18my_88M5Lr14Wt75n3hecfL5Li_O1ayDYehv6e-Pzyy7bF5nWd5NbdTdKveSCcvndn56dL2uD_014iOYP6iBORn5BSY99M8Ao0qFlMjijW_Rp9Sp91D-9nyw0TvHSZTVbCYRUjc4aHH_ldWekbwhKr0yOS4lb_vQ3CIsUSHu8XPBvn_dNSR_aDG8k
6,Information Security PCI Compliance Program ManagerNEW!,Further Enterprise Solutions,Data Engineer,"Englewood, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJIrvCbOpzDAqfh8EZA5MCyNdBlH8ZpDm_1JIQDF-_g99r4P1s2K0HTHzmyWjsFNH6bmt5VqB1N61513ygfPTXEjlBaVzjArQZ-50T9QRVkqSbXJIVfjQ0XnB_trlXeBEjvs4LvRlcEnZwJIKXH-N8xr7iEQ_SvS1yhTZnX05m5AfqF3xWr3Hxw-ojhmzL7fSqR6_jKEwlFtpVwmuXb7xw
7,Intern - Orion Avionics Test and VerificationNEW!,Stellar Solutions,Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKsAd7ihMgsMuu7Yrj7fOpd01l3yU6xLPQntlY2wpXVIXccAvbNXkhbPF944PeuPuR0ZljJGgf4FpCrLl-nTk8Qcy49I53fn8lcM1jUVfq5FrJoKkdQ5H3A3MeqTpbZlGnbNHyvWkdozLtGV7WGXg80wwuoMi9G78Gf6j7jPvuAn6aiRlNKBYl-Ffs6cwlOz2EG-uXGWxt5geevoXiWahk
8,Intern - R&D Software EngineerNEW!,Stellar Solutions,Data Engineer,"Boulder, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKPOuiYyo2FYyFp7O6wx6lMHwStGOXQBRqwWsx0oyGO93TgEs4HYhvGnQfXuSUd9EkL47drJ02zQYoXzkPfpkG-ibXj3I5A1Klnale5eH9cXWQjlkAXJzCqXtem4OE4Quf4IpL-q3s4Wo8cd-pmuQBHg6NPZUUczyxR3CVFnzPSXuk9OG619MLZe-wlf32GwNCgqT8QF8fLVPLDflO8uw
9,Logistics and Supply Chain ManagerNEW!,Prime Data Centers,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKHI7QeamjbFUNa-Y7m9a96I2WWoEoo3m-2PdZXuneQdPXOFoTE1A8f1NjoUD21DryLXuGfCu3t6DNHd_UlzsEKIsEI5wwm_NHn8YyIl_h6Wti_qoh1VwyDPIIjd2sElxgBZvzh-HDzrgHfNeaEglA5UPnkwx3ojgKi6y9rSm-jMtRPXyutOv_yxI3WPLnR4SYGrPzAAW-WimWGTBz7Jg
