,job_title,company,job_search,location,date_range,link
0,2023-24 Staffing ChairNEW!,Vega Collegiate Academy,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAK8kmMaRdnQjjjhA7yx3bGgSooGmcSiKzJdC0kVYK0Uth_sn_oYQSClHx7gK5OBm8w1GldDeNdVBCK1Xi0cyDqN-PsyYBQIQKtWR_eKTCXUkzuEQKASmxKbHwT-nDT4_iw1CYUz4l0qeYl7XR7cOJnV_UqJug2IQD2ExHabQBrjeF8MIjuXHb7M4cVpOUnlotuBacO7Gh5Aocfn3G-f7vc
1,"AWS databricks, Pyspark Python DeveloperNEW!",Siri InfoSolutions Inc,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIXm7M5f12VjRK5zQsLFze4Lprp36kmwKATVgwRD3Ck-eaEQxCiFoa1znArTG6Niirj0Xr9Ic5j9atvUFHd8KiPm7lRYSgSOCZ8mYLkOvCr7f-NxvnT-TbxI4B0vngtCgXw8qM9jfl_cfFi2zYWpTH2cLVr9UPhNVJfIKbaiR4m68wREWvd3l4r1pdzYnIl9b_InhDmlJzARgOxrt6oZA
2,Application Analyst II Power Platform and M365NEW!,RES,SQL Analyst,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJYr_ZdCylxIne0RTvGP2L06qShU0DqHTMOf_iqvdi25GlSl4p1gYl-qxeKCddCY2Wu4xn8bgeYeawA_Hx_aX27lCDuk4C4TQJjnhKTjeVX6iIZzrk0JLlf8YlmnewMNsZz85ZCBG5BhgZPqJpap80NBFARE4Q7QN1KBPz62ZpnrWpGJ_2NUd6iIFMJ5chTAB_2zqTfQ7wL0wfLE_cA
3,BAS Controls Service Tech - Niagara N4NEW!,Haynes Mechanical Systems Inc,Data Engineer,"Englewood, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKwS5nibKAmjGQAt6W9_dR7oivw2VT8UNbAlBIC29w36vIHOl_Lem9oN_WwbAnHBD7XxbtQPAMq-AVejyuaCVFgRwVzK9QtRd9MfwSxGhwOa-i35P0nypSn7AKk0i6d0ioSL56LxaEO9HCBY6BHxT6ykjbQuw3O_HjW8bVZRLxYu6_7kwzDXYWEDuXJsq1I3y2B2Qz0PocYm5tNZ8lEKw0
4,BCBA/Board Certified Behavior Analyst (FT)NEW!,Success On The Spectrum,Data Engineer,"Castle Rock, CO",within_1_day,https://www.ziprecruiter.com/k/l/AALDvV8Z29YwbuD9sWKY6P3bMceBYS_bTifSxZkO-_kXIJPbnanTGH0KifoXDYlxa1EQuqcDmNPVnj8eHPdAv7sEgFn0wWBb5L9hyYb4E_FpUXxqYkaSWUUURF9QPhjEC0asBQY2EUCQMDN3wtmc2swS4FkYYxeGlD60igKXH_CLvds-p2x0ode942fsqP9jhJMMeg_hauMSAfz0uubyVrU
5,Business AnalystNEW!,TEKsystems,SQL Analyst,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKmzIBqzG_YCj2C-VDTr0BeUoyesrN3Bc64XDlYfBv1SeC6IBxn0anjChAfSlOqdKWUMgxQf28nPIhxpSGefhnoo2PEpnhfGJ3Qj8KXsRTb6THK1woWA5jHnIx3LSNIYkVhnhFFNwUP0BIPl9DUcCoBEF3j1ZQXS4JMP9znk3VyYdBE1U8BO11ngxuRhJfRNCrBLu9vyrzI-Ig3Wql4
6,Information Security PCI Compliance Program ManagerNEW!,Further Enterprise Solutions,Data Engineer,"Englewood, CO",within_1_day,https://www.ziprecruiter.com/k/l/AALqGW_vLHCVs-P9QAhcvDcgMcydaRxUmFzxwmNAXOT8cQh5r3yv-HA-CImJ2PttFlmYv001mmQIBgOos_tpMfFZTj-z3EDQFoe_d3dB0JU8Xx2MSWkzNo3h4x91Qz5D3Wyf2S9RR9WmQTkPprJd2Dz14jChD_0fxmG5_1BwLMiYD8x4m2OhPYI9GLVVYE7zMBlEd4D9WyXziCZ-UYXqvkY
7,Intern - Orion Avionics Test and VerificationNEW!,Stellar Solutions,Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJ5-9dyRPe_15wVHdyyBUVlMOob4eaXk4UT_eRfv6OiGz29GA-RmS4gwJLF1drCL68bRd9h8sG7QmnwdJIBjvnluliabUGckckM3aAHvrBMSqxCdIYYNVtSLAXOi4CFEVYd9P_2Rk_EwkG6VPFfwvER9caYepGrZh3o4Taj5J9beOuoz6WGJY5kfxs4KNdT4LSe4OVyRvzxQtD4OU3hTt0
8,Intern - R&D Software EngineerNEW!,Stellar Solutions,Data Engineer,"Boulder, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIHq9BOqLltNxktE0X9AvGeGGEOzhqH9ia7hxMifwEhVb8yFkm_rzNzb8OSHGAHiNuCCJLo7AJfQnXJ5kbeUw4NWDwgYGURA8d2UrUaI1Z8kByaSNrCdgr_hI7FlxEzxo29wy0UXfTSiVzib9it6ZQW5839wJjlRV3MYro3sSQ7oSEdhqqm-F7V3tyiYeDJojSvvIF-pbqLc9etQAfK2g
9,Logistics and Supply Chain ManagerNEW!,Prime Data Centers,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKBe2ZRFFYeKQvcZ-3LgCEsUdNtFnOulL-bq14-rqpj6VRm0TMt5RtDM1OPqA_88Mm6MPavKSiGcXkBrbPhdskdgwB2QEDDV3KSm_DraRt05ZBfdvadXlbf1x5XR4fAbpvCe4fGms4S7q4LPWU7eHER3HrBmn0TxLwJ-YfdRz2yLCLTccrXo-2ic2z4Ox-RtVmQ_9L-jjjHAxFx-GvS5w
10,Marketing/Social Media/Proposal Coordinator Part-timeNEW!,Engineering Economics Inc.,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKJIU4uglfainrP0WEADCjk8tpfTtuoXv3576XMVsNwt-g4rgZ1uRw5EG1-VC8ZwyVbE5t76WtX3LLwlIXCL9PI3q3cGA2cSgHpdqwYRsFo301MAXACUMTOGvC1WlkeKIA31FsZrXXnv8zwVWCAWh-fCASlsnpmvwhLs1jFhsxmiFaBi5Lk49w6ZoeD3muD1JaIJ1rcOMBiJA8JFz7DaXoHDCGA6MF1v9dn
11,Patron Experience Associate (Part Time) - Conifer LibraryNEW!,Jefferson County,Data Engineer,"Conifer, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAJPJVi-Z9ihbZJEN26Re7CbSwomaIs_-NsjcskemAAUw2Wz5K40k2RAgNuW30y3UQmG6c9hx_mv-wWPv0FzNvt2sjzBI_sVMPq1iKACO5b4mPe7DPPAEL7bNkE0w068L7f4S4cjCT70OPrw4JR733-lmITa5_aKmwKVzTfm_-kCbjUDqHChD36nCgu2RLQRhdiwXQBlxBNhVSUz-x1OdMY
12,RF Engineer INEW!,Signature Consultants,Data Engineer,"Littleton, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKftzvogmyKH-90_eZpiOzrDO9QC3QXdlEbw0LcGEpynVh06XBtS6eucnYPcfnCI5bxQpf4wSCa788-krrAK6IcwSA010_8pc_60dUgjqf3uqFLNFiNJUsdYUrnFPSaz_eNqSNqLlFnAnR3SYl0uEG6L16CtZ4rNrBYwM5hviVBv2rwncfdV7HUgoSQ4TsuvteJzWoGjtXH-mhr3KVADA
13,Research and Evaluation AssociateNEW!,American Indian College Fund,Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAKb9P-Cxma-s_xAr7btOvw4lDEX51kZTOSDocjsS4pyteNXLjL-bgXGeIPn1lZjH2o2pN4c9uEmxfR7msnPVX0eZO3Wz6jiC42UEQeuZpDWe2aaDw4lUr9ScIXr2iQ4rZfsbK-Qq12R4cjmE-7I2eqDpEuq89Jt9TOORweKVPYLarWwDi-wCQjXO32yXWocw2ENSboFI7baOVkRvwIjeZ0
15,Software Engineer - Mobility dot netNEW!,"Woolpert, Inc.",Data Engineer,"Denver, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIqNlW7WIUgvXzDlKSbiktc0OFg_CuNGvnjzFr3efuQL_CAUoE3e2VxF6hunAmqdI2V9noC0ejAaWYOedz2P9IrzQqDeRnwtKJe5YaBbPDj4qShtAIFP1cGYi2KgHOoBQvuB9u5u77_dRgwqZzTCvH3KGBvjfgYPKV4SOXLiqMVQN0k7cZsvtk2KGDTFX5Rez5r-ZLblTk0wxeO5Qd0AQ
16,Software Engineer INEW!,Kratos Defense,Data Engineer,"Colorado Springs, CO",within_1_day,https://www.ziprecruiter.com/k/l/AALgkTyzDEfyH4DOzdDcGANgpWYZ8mAK0br0HDdcEPkWedulGPAyqfAo5sHcFD7ZMAG4SChB_ZbD85E0fGl_dOYtEhMJO4lo76x9_Cbx01Bq9KgdEHtMsTlwDA1CQWhk2AOi7ZhbxjxIeHHakCEGo3ynv62pYGc4R13heFFlMqUUiY8f8OrYyDEV3R2Anp_dvh82_QPJ2jpAREQj1If3q80
17,Sr. Infrastructure Engineer I LinuxNEW!,Entegee,Data Engineer,"80011, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAK-krKl3M6B_uAlfZqv9S0CnqcM_v9hsUh1GLgjtPH91ZDBcj_pAafldlvl7DRHQx0fTUhbuapP-VhbSttIfcdtbnW0_mc-7CUhr64_zWvq9VzYJAnZGBKGJ26tuyDMd-HoJDCGsplAtM1aMMEa_2SSB7Y2jP70yXQ_pvlDasCwY5XUGiP6MUKiDkGdyf8tpT7HYpwLVfGdpgr2tto9gw
18,Sr. Infrastructure Engineer I NetworkNEW!,Entegee,Data Engineer,"80011, CO",within_1_day,https://www.ziprecruiter.com/k/l/AAIW8PPYSe6iVsysaQRJRvMqwqDoLf6scxooUfPwDNY1YZDbJfrOMXDf-3o6hbzlUJpJTeYeqAgd4O0vT3qFQNwuxqeya-YzhtClXKY8JgvkJJepQi0VySM_l3CVO5Lxi2hLy6HZVztc_fbFYCvwTEGzTUA0XCRkbk8W5a9jzhFNV9kJZUnysHgi9tYGJnitiStehaFHEfOlTESJPKU7ew
